Title,Address,District,PostingDate,PostType,Price,Area,Direction,Bedrooms,Bathrooms,Floors,Width_meters,Legal,Interior,Entrancewidth,Area_m2,Entrance_width,Width,PostingYear,PostingMonth,PostingQuarter,Month_sin,Month_cos,Days_Since_Posted,Half_Year
Top 10 căn đầu tư tốt nhất tại Vinhome Cổ Loa - mua trực tiếp CĐT chiết khấu 22.5% LH: 0818 008 ***,"Dự án Vinhomes Cổ Loa, Đường Cổ Loa, Xã Đông Hội, Đông Anh, Hà Nội",Đông Anh,03/03/2024,"Nhà biệt thự, liền kề tại Vinhomes Cổ Loa",15.8,63 m²,0,,,5.0,0,0,0,0,63.0,6.0,5.0,2024,3,1,1.0,6.123233995736766e-17,668,0
Tổng kho hàng chuyển nhượng vị trí đẹp giá rẻ - giá cho nhà đầu cơ/tiêu dùng,"Dự án An Lạc Green Symphony, Đường Vành Đai 3.5, Xã Vân Canh, Hoài Đức, Hà Nội",Hoài Đức,08/11/2025,"Nhà biệt thự, liền kề tại An Lạc Green Symphony",25.3,90 m²,Tây - Nam,,,4.0,5 m,* Pháp lý: Tất cả các căn đã ký Hợp đồng mua bán.,0,58 m,90.0,58.0,5.0,2025,11,4,-0.5000000000000004,0.8660254037844384,53,1
Bán biệt thự song lập 150m2 Vin Ocean Park Gia Lâm.Giá 26 tỷ. Cơ hội mua để ở và đầu tư hấp dẫn,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",Gia Lâm,30/10/2024,"Nhà biệt thự, liền kề tại Vinhomes Ocean Park Gia Lâm",29.8,150 m²,0,,,,0,Sổ đỏ.,0,0,150.0,8.0,6.0,2024,10,4,-0.8660254037844386,0.5000000000000001,427,1
Tạo ngay ra dòng tiền 360 triệu/năm với số vốn ban đầu bỏ ra chỉ 2 tỷ chỉ có tại Vinhomes Móng Cái,"Dự án Vinhomes Golden Avenue Móng Cái, Phường Hải Hòa, Móng Cái, Quảng Ninh",Móng Cái,27/07/2023,"Nhà biệt thự, liền kề tại Vinhomes Golden Avenue Móng Cái",6.0,90 m²,0,,,5.0,5 m,Sổ đỏ/ Sổ hồng,0,"17,5 m",90.0,17.5,5.0,2023,7,3,-0.4999999999999997,-0.8660254037844388,888,1
"Quỹ căn hộ Studio, 1N, 2N, 3N chính chủ gửi bán pháp lý rõ ràng, giá cắt lỗ tại Ocean Park","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",Gia Lâm,06/04/2023,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,2.2,43 m²,Tây,1.0,1.0,,0,Sổ đỏ/ Sổ hồng,Đầy đủ.,0,43.0,8.0,6.0,2023,4,2,0.8660254037844387,-0.4999999999999998,1000,0
"Quỹ căn stu,1-3PN chính chủ view đẹp, pháp lý rõ ràng, giá rẻ nhất, cắt lỗ tại Vinhomes Oceanpark","Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",Gia Lâm,05/02/2023,Căn hộ chung cư tại Vinhomes Ocean Park Gia Lâm,2.6,59 m²,0,2.0,1.0,,0,Sổ đỏ/ Sổ hồng.,0,0,59.0,8.0,6.0,2023,2,1,0.8660254037844386,0.5000000000000001,1060,0
"Quỹ căn Nội Bộ Masterise Homes tại Vin Ocean Park 1. CK tới 15%, thanh toán linh hoạt, giá tốt nhất","The Lake, Trâu Quỳ, Gia Lâm, Hà Nội",Gia Lâm,23/11/2025,Căn hộ chung cư tại The Lake,3.6,"47,6 m²",0,,,,0,0,0,0,47.6,8.0,6.0,2025,11,4,-0.5000000000000004,0.8660254037844384,38,1
Trực Tiếp CĐT KiTa Ciputra Tây Hồ Mở Bán Quỹ Căn BT 150m2 . Giá bán 63tỷ. Ck 11% . Miễn ls 0% 2năm,"Kita Capital Ciputra, Phường Phú Thượng, Tây Hồ, Hà Nội",Tây Hồ,22/07/2025,"Nhà biệt thự, liền kề tại Kita Capital Ciputra",74.4,150 m²,Tây - Nam,5.0,5.0,4.0,7 m,Sổ đỏ/ Sổ hồng,Không nội thất,11 m,150.0,11.0,7.0,2025,7,3,-0.4999999999999997,-0.8660254037844388,162,1
Cập nhật quỹ 100 căn biệt thự và shophouse giá tốt nhất Vinhomes Ocean Park 0917 777 ***,"Dự án Vinhomes Ocean Park Gia Lâm, Xã Dương Xá, Gia Lâm, Hà Nội",Gia Lâm,21/09/2023,"Nhà biệt thự, liền kề tại Vinhomes Ocean Park Gia Lâm",23.9,150 m²,0,,,,0,Sổ đỏ/ Sổ hồng,0,0,150.0,8.0,6.0,2023,9,3,-1.0,-1.8369701987210297e-16,832,1
Cập nhật quỹ căn hot Zurich tại Vinhomes Ocean Park - Giá tốt nhất thị trường! LH 0911 269 ***,"Dự án The Zurich - Vinhomes Ocean Park, Xã Đa Tốn, Gia Lâm, Hà Nội",Gia Lâm,23/08/2023,Căn hộ chung cư tại The Zurich - Vinhomes Ocean Park,1.8,"28,2 m²",0,1.0,1.0,,0,0,0,0,28.2,8.0,6.0,2023,8,3,-0.8660254037844385,-0.5000000000000004,861,1
