district,bedrooms,bathrooms,price_vnd,area_m2,posting_year,posting_month,posting_quarter,month_sin,month_cos,days_since_posted,half_year,price_per_m2
Đông Anh,0,0,15.8,63.0,2024,3,1,1.0,6.123233995736766e-17,668,0,250793650.7936508
Hoài Đức,0,0,25.3,90.0,2025,11,4,-0.5000000000000004,0.8660254037844384,53,1,281111111.1111111
Gia Lâm,0,0,29.8,150.0,2024,10,4,-0.8660254037844386,0.5000000000000001,427,1,198666666.66666666
Móng Cái,0,0,6.0,90.0,2023,7,3,-0.4999999999999997,-0.8660254037844388,888,1,66666666.666666664
Gia Lâm,0,0,2.2,43.0,2023,4,2,0.8660254037844387,-0.4999999999999998,1000,0,51162790.697674416
Hoài Đức,0,0,0.16,224.0,2024,11,4,-0.5000000000000004,0.8660254037844384,425,1,714285.7142857143
Gia Lâm,0,0,2.6,59.0,2023,2,1,0.8660254037844386,0.5000000000000001,1060,0,44067796.61016949
Gia Lâm,0,0,3.6,47.0,2025,11,4,-0.5000000000000004,0.8660254037844384,38,1,76595744.68085106
Tây Hồ,0,0,74.4,150.0,2025,7,3,-0.4999999999999997,-0.8660254037844388,162,1,496000000.0
Gia Lâm,0,0,23.9,150.0,2023,9,3,-1.0,-1.8369701987210297e-16,832,1,159333333.33333334
Gia Lâm,0,0,1.8,28.0,2023,8,3,-0.8660254037844385,-0.5000000000000004,861,1,64285714.28571428
Nam Từ Liêm,0,0,4.4,68.0,2023,12,4,-2.4492935982947064e-16,1.0,757,1,64705882.35294118
Nam Từ Liêm,0,0,3.2,43.0,2024,5,2,0.49999999999999994,-0.8660254037844387,594,0,74418604.65116279
Đông Anh,0,0,50.2,148.0,2023,11,4,-0.5000000000000004,0.8660254037844384,766,1,339189189.1891892
Đông Anh,0,0,16.3,63.0,2024,6,2,1.2246467991473532e-16,-1.0,566,0,258730158.73015872
Hà Đông,0,0,35.8,212.0,2025,5,2,0.49999999999999994,-0.8660254037844387,214,0,168867924.5283019
Móng Cái,0,0,5.7,90.0,2023,9,3,-1.0,-1.8369701987210297e-16,844,1,63333333.333333336
Hà Đông,0,0,27.7,75.0,2024,8,3,-0.8660254037844385,-0.5000000000000004,504,1,369333333.3333333
Đông Anh,0,0,3.8,63.0,2024,10,4,-0.8660254037844386,0.5000000000000001,432,1,60317460.31746032
Thường Tín,0,0,0.22,140.0,2023,3,1,1.0,6.123233995736766e-17,1016,0,1571428.5714285714
Cầu Giấy,0,0,37.0,68.0,2024,11,4,-0.5000000000000004,0.8660254037844384,420,1,544117647.0588236
Hoài Đức,0,0,0.14,216.0,2025,11,4,-0.5000000000000004,0.8660254037844384,54,1,648148.1481481482
